rank	file	frame	status	res_before	res_after	n_match	spread
1516	1516_nbacourt_1912_frame_0018_png.rf.4c5acc.jpg	nbacourt_1912_frame_0018_png.rf.4c5acc	SNAPPED	1.5612542629241943	0.4918464422225952	58	0.386
1517	1517_nbacourt_0499_frame_0002_png.rf.dc1fc4.jpg	nbacourt_0499_frame_0002_png.rf.dc1fc4	SNAPPED	1.6940805912017822	0.49163269996643066	79	0.176
1518	1518_nbacourt_2186_frame_0002_png.rf.205c4e.jpg	nbacourt_2186_frame_0002_png.rf.205c4e	KEPT	0.4914015531539917	0.4914015531539917	49	0.245
1519	1519_nbacourt_1425_frame_0007_png.rf.9c05ba.jpg	nbacourt_1425_frame_0007_png.rf.9c05ba	SNAPPED	1.0778266191482544	0.4910057485103607	97	0.306
1520	1520_nbacourt_1057_frame_0005_png.rf.852100.jpg	nbacourt_1057_frame_0005_png.rf.852100	SNAPPED	0.9379012584686279	0.49099037051200867	119	0.278
1521	1521_nbacourt_2210_frame_0004_png.rf.8137e0.jpg	nbacourt_2210_frame_0004_png.rf.8137e0	SNAPPED	1.3223960399627686	0.4908619523048401	114	0.412
1522	1522_nbacourt_1663_frame_0009_png.rf.aac00e.jpg	nbacourt_1663_frame_0009_png.rf.aac00e	SNAPPED	1.4999974966049194	0.4906429648399353	163	0.416
1523	1523_nbacourt_1959_frame_0028_png.rf.3dadca.jpg	nbacourt_1959_frame_0028_png.rf.3dadca	SNAPPED	2.0179224014282227	0.49041998386383057	54	0.351
1524	1524_nbacourt_0107_frame_0000_png.rf.c40c1f.jpg	nbacourt_0107_frame_0000_png.rf.c40c1f	SNAPPED	0.8586676716804504	0.4902077317237854	76	0.287
1525	1525_nbacourt_1614_frame_0009_png.rf.1d4655.jpg	nbacourt_1614_frame_0009_png.rf.1d4655	SNAPPED	0.5465993285179138	0.4901445209980011	128	0.496
1526	1526_nbacourt_0587_frame_0003_png.rf.41fb1f.jpg	nbacourt_0587_frame_0003_png.rf.41fb1f	SNAPPED	0.8887979984283447	0.4900877773761749	105	0.361
1527	1527_nbacourt_0718_frame_0003_png.rf.d77aac.jpg	nbacourt_0718_frame_0003_png.rf.d77aac	SNAPPED	1.0118873119354248	0.4899600148200989	127	0.276
1528	1528_nbacourt_0864_frame_0004_png.rf.8b1e85.jpg	nbacourt_0864_frame_0004_png.rf.8b1e85	SNAPPED	0.533791184425354	0.48987114429473877	107	0.303
1529	1529_nbacourt_1899_frame_0017_png.rf.5d3068.jpg	nbacourt_1899_frame_0017_png.rf.5d3068	SNAPPED	0.4990556240081787	0.48982682824134827	151	0.300
1530	1530_nbacourt_0622_frame_0003_png.rf.68302d.jpg	nbacourt_0622_frame_0003_png.rf.68302d	SNAPPED	1.615657091140747	0.48975759744644165	82	0.384
