rank	file	frame	game	floor_frac	old-aug_sane	old-aug_res	old-aug_match	old-aug_pts	NEW-33_sane	NEW-33_res	NEW-33_match	NEW-33_pts	NEW-grid_sane	NEW-grid_res	NEW-grid_match	NEW-grid_pts
509	0509_qAeUUwn-A8s_s4200_t0092.jpg	qAeUUwn-A8s_s4200_t0092	2024 DEN@MIN	0.339	1	4.227132797241211	33	14	0	nan	0	0	1	nan	17	10
510	0510_qAeUUwn-A8s_s4200_t0188.jpg	qAeUUwn-A8s_s4200_t0188	2024 DEN@MIN	0.218	0	nan	0	14	0	nan	0	0	1	nan	16	26
511	0511_qAeUUwn-A8s_s4200_t0232.jpg	qAeUUwn-A8s_s4200_t0232	2024 DEN@MIN	0.245	1	nan	15	7	0	nan	0	3	1	nan	8	30
512	0512_92fLApYaCGI_s1380_t0176.jpg	92fLApYaCGI_s1380_t0176	1998 CHI@UTA	0.276	0	nan	0	0	1	5.169288635253906	50	15	1	7.6133317947387695	22	46
513	0513_92fLApYaCGI_s1380_t0100.jpg	92fLApYaCGI_s1380_t0100	1998 CHI@UTA	0.311	0	nan	0	0	1	3.5243420600891113	28	11	1	7.499994277954102	29	30
514	0514_92fLApYaCGI_s5580_t0100.jpg	92fLApYaCGI_s5580_t0100	1998 CHI@UTA	0.244	0	nan	0	0	1	4.477799415588379	28	15	1	7.089395999908447	27	45
515	0515_qAeUUwn-A8s_s4200_t0210.jpg	qAeUUwn-A8s_s4200_t0210	2024 DEN@MIN	0.450	1	5.376016139984131	38	11	1	5.349899768829346	71	11	1	7.063851356506348	64	28
516	0516_92fLApYaCGI_s1380_t0060.jpg	92fLApYaCGI_s1380_t0060	1998 CHI@UTA	0.282	1	nan	17	15	1	nan	12	16	1	7.030941009521484	20	45
517	0517_H56iR3188P0_s4080_t0190.jpg	H56iR3188P0_s4080_t0190	2013 SAS@MIA	0.286	0	nan	0	15	1	nan	17	11	1	6.988055229187012	21	22
518	0518_H56iR3188P0_s1620_t0152.jpg	H56iR3188P0_s1620_t0152	2013 SAS@MIA	0.217	0	nan	0	0	1	5.416350364685059	51	16	1	6.9659223556518555	48	41
519	0519_H56iR3188P0_s1620_t0060.jpg	H56iR3188P0_s1620_t0060	2013 SAS@MIA	0.204	0	nan	0	14	1	3.450834035873413	26	15	1	6.964635848999023	36	40
520	0520_H56iR3188P0_s6540_t0174.jpg	H56iR3188P0_s6540_t0174	2013 SAS@MIA	0.160	0	nan	0	0	1	4.57974100112915	53	14	1	6.930593490600586	35	45
521	0521_H56iR3188P0_s1620_t0296.jpg	H56iR3188P0_s1620_t0296	2013 SAS@MIA	0.202	1	5.326896667480469	33	13	1	4.443486213684082	43	13	1	6.896563529968262	25	40
522	0522_8Ap3jYl0nAA_s3300_t0236.jpg	8Ap3jYl0nAA_s3300_t0236	2019 TOR@PHI	0.317	0	nan	0	6	1	4.50003719329834	66	16	1	6.7672810554504395	50	44
