rank	file	frame	n_code2	flag	verts_on	med_px	support
815	0815_nbacourt_1828_frame_0012_png.rf.f96ea7.jpg	nbacourt_1828_frame_0012_png.rf.f96ea7	5	-	15	18.34	0.243
816	0816_nbacourt_1918_frame_0018_png.rf.ef6e92.jpg	nbacourt_1918_frame_0018_png.rf.ef6e92	5	-	9	18.31	0.274
817	0817_nbacourt_0046_frame_0000_png.rf.56eba2.jpg	nbacourt_0046_frame_0000_png.rf.56eba2	6	-	13	18.31	0.232
818	0818_nbacourt_0405_frame_0002_png.rf.675ff4.jpg	nbacourt_0405_frame_0002_png.rf.675ff4	6	-	16	18.31	0.260
819	0819_nbacourt_1640_frame_0009_png.rf.7195cb.jpg	nbacourt_1640_frame_0009_png.rf.7195cb	5	-	9	18.31	0.270
820	0820_nbacourt_1978_frame_0036_png.rf.be8ec8.jpg	nbacourt_1978_frame_0036_png.rf.be8ec8	5	-	10	18.29	0.342
821	0821_nbacourt_0152_frame_0001_png.rf.0cfe0d.jpg	nbacourt_0152_frame_0001_png.rf.0cfe0d	6	-	15	18.24	0.182
822	0822_nbacourt_1727_frame_0010_png.rf.94223a.jpg	nbacourt_1727_frame_0010_png.rf.94223a	7	-	16	18.24	0.243
823	0823_nbacourt_2229_frame_0007_png.rf.6a69f6.jpg	nbacourt_2229_frame_0007_png.rf.6a69f6	6	-	15	18.24	0.221
824	0824_nbacourt_0214_frame_0001_png.rf.5ed64b.jpg	nbacourt_0214_frame_0001_png.rf.5ed64b	6	-	13	18.24	0.230
825	0825_nbacourt_1872_frame_0014_png.rf.a195a9.jpg	nbacourt_1872_frame_0014_png.rf.a195a9	7	-	18	18.24	0.233
826	0826_nbacourt_2068_frame_0005_png.rf.9ab20e.jpg	nbacourt_2068_frame_0005_png.rf.9ab20e	6	-	13	18.23	0.272
827	0827_nbacourt_0823_frame_0004_png.rf.5ce73c.jpg	nbacourt_0823_frame_0004_png.rf.5ce73c	6	-	15	18.18	0.276
828	0828_nbacourt_0796_frame_0004_png.rf.4472cc.jpg	nbacourt_0796_frame_0004_png.rf.4472cc	7	-	18	18.18	0.192
829	0829_nbacourt_0817_frame_0004_png.rf.5a2237.jpg	nbacourt_0817_frame_0004_png.rf.5a2237	6	-	13	18.18	0.173
830	0830_nbacourt_1182_frame_0006_png.rf.0876ea.jpg	nbacourt_1182_frame_0006_png.rf.0876ea	6	-	16	18.18	0.240
831	0831_nbacourt_1326_frame_0006_png.rf.f2ad5e.jpg	nbacourt_1326_frame_0006_png.rf.f2ad5e	6	-	14	18.18	0.200
832	0832_nbacourt_1813_frame_0012_png.rf.78c2f9.jpg	nbacourt_1813_frame_0012_png.rf.78c2f9	6	-	12	18.18	0.221
833	0833_nbacourt_1917_frame_0018_png.rf.dab0ef.jpg	nbacourt_1917_frame_0018_png.rf.dab0ef	7	-	18	18.18	0.295
834	0834_nbacourt_2131_frame_0009_png.rf.9dd74f.jpg	nbacourt_2131_frame_0009_png.rf.9dd74f	5	-	15	18.16	0.212
835	0835_nbacourt_0364_frame_0002_png.rf.3632bc.jpg	nbacourt_0364_frame_0002_png.rf.3632bc	5	-	9	18.15	0.273
836	0836_nbacourt_0590_frame_0003_png.rf.447152.jpg	nbacourt_0590_frame_0003_png.rf.447152	6	-	15	18.15	0.194
837	0837_nbacourt_1429_frame_0007_png.rf.9f08a0.jpg	nbacourt_1429_frame_0007_png.rf.9f08a0	6	-	14	18.15	0.378
838	0838_nbacourt_1544_frame_0008_png.rf.6d63aa.jpg	nbacourt_1544_frame_0008_png.rf.6d63aa	6	-	15	18.15	0.295
839	0839_nbacourt_1606_frame_0009_png.rf.06fd6c.jpg	nbacourt_1606_frame_0009_png.rf.06fd6c	7	-	16	18.15	0.179
